S,I,R
0.05259896837871531,2.3182880324853134e-05,0.9473778487409599
0.05259860256003857,2.123041096910817e-05,0.9473801670289923
0.05259826755305395,1.9442376856822473e-05,0.9473822900700892
0.05259796076245201,1.7804929773074962e-05,0.947384234307775
0.052597679811552736,1.6305387695042188e-05,0.9473860148007522
0.05259742252388438,1.4932136593894087e-05,0.9473876453395218
0.052597186906315097,1.3674540503788699e-05,0.9473891385531812
0.05259697113360628,1.2522859162230555e-05,0.9473905060072315
0.05259677353426772,1.1468172584567317e-05,0.9473917582931477
0.052596592577604837,1.0502311988995301e-05,0.9473929051104062
0.05259642686185739,9.617796537538195e-06,0.9473939553416051
0.052596275103337746,8.80777540343203e-06,0.9473949171212589
0.0525961361264843,8.065974716539024e-06,0.9473957978987992
0.05259600885475304,7.386648976140281e-06,0.9473966044962709
0.05259589230227655,6.764536555013061e-06,0.9473973431611685
0.05259578556622571,6.194818950348439e-06,0.9473980196148241
0.05259568781981497,5.6730834660538305e-06,0.9473986390967191
0.052595598305896885,5.1952890375353434e-06,0.9473992064050657
0.05259551633109629,4.7577349343721804e-06,0.9473997259339695
0.052595441260438656,4.357032098566902e-06,0.947400201707463
0.05259537251243091,3.990076896453219e-06,0.9474006374106728
0.05259530955455669,3.654027081024557e-06,0.9474010364183625
0.052595251899151055,3.3462797785562675e-06,0.9474014018210706
0.052595199099622694,3.0644513290641013e-06,0.9474017364490485
0.05259515074699436,2.8063588244926603e-06,0.9474020428941814
0.05259510646673474,2.570003201670699e-06,0.9474023235300638
0.052595065915857137,2.353553759107145e-06,0.947402580530384
0.052595028780262607,2.1553339777254564e-06,0.9474028158857599
0.05259499477230683,1.9738085357297754e-06,0.9474030314191577
0.052594963628571946,1.8075714170422706e-06,0.9474032288000113
0.05259493510782606,1.655335021218659e-06,0.947403409557153
0.05259490898915466,1.5159201905036053e-06,0.9474035750906551
0.05259488507024932,1.3882470767895524e-06,0.9474037266826741
0.05259486316584069,1.271326777746454e-06,0.9474038655073819
0.05259484310626331,1.1642536773462019e-06,0.9474039926400597
0.052594824736141466,1.0661984314603558e-06,0.9474041090654274
0.052594807913185576,9.764015442053021e-07,0.9474042156852706
0.05259479250709008,8.941674852838566e-07,0.947404313325425
0.05259477839852407,8.188593027619982e-07,0.9474044027421735
0.052594765478206996,7.498936895562996e-07,0.9474044846281038
0.05259475364606218,6.867364654214099e-07,0.9474045596174727
0.05259474281044161,6.288984394448509e-07,0.9474046282911193
0.052594732887416104,5.759316210033127e-07,0.9474046911809633
0.05259472380012517,5.274257498334072e-07,0.9474047487741254
0.05259471547818168,4.83005118341335e-07,0.9474048015167004
0.05259470785712665,4.423256615393019e-07,0.9474048498172122
0.052594700877929966,4.0507229206928265e-07,0.9474048940497783
0.05259469448653316,3.709564596729508e-07,0.9474049345570076
0.052594688633430656,3.397139162049471e-07,0.9474049716526536
0.05259468327328636,3.111026688786252e-07,0.9474050056240452
0.05259467836458246,2.8490110589130625e-07,0.9474050367343121
0.05259467386929785,2.6090627991119577e-07,0.9474050652244227
0.05259466975261364,2.389323361307905e-07,0.9474050913150507
0.05259466598264345,2.1880907271131726e-07,0.9474051152082843
0.05259466253018642,2.0038062246815263e-07,0.9474051370891916
0.05259465936850106,1.835042455862277e-07,0.9474051571272538
