S,I,R
0.98703,0.01197,0.001
0.9834855752699999,0.014317424729999998,0.002197
0.9792612810609093,0.01710997646609069,0.003628742473
0.9742347398189775,0.02042552006141341,0.005339740119609069
0.9682649644521679,0.02435274342208159,0.0073822921257504105
0.9611909919789995,0.028991441553041813,0.00981756646795857
0.9528310982394187,0.03445219113731846,0.012716710623262751
0.9429829625039811,0.040855107759024276,0.016161929736994596
0.9314252613395738,0.04832729814752908,0.020247440512897022
0.9179212814475045,0.0569985482248455,0.02508017032764993
0.9022252273193453,0.06699474753052022,0.03078002515013448
0.8840919219233676,0.07842857817344592,0.037479499903186504
0.8632905002000439,0.091387142079425,0.0453223577205311
0.8396224047207641,0.10591652335076228,0.0544610719284736
0.8129434389101351,0.12200383682631505,0.06505272426354983
0.7831887733091905,0.1395581187446282,0.07725310794618133
0.7503986677617074,0.15839241241764848,0.09120891982064415
0.7147414311831775,0.17821040775441355,0.107048161062409
0.6765291226161393,0.19860167554601033,0.12486920183785036
0.636221177423968,0.21904945318358054,0.1447293693924514
0.5944120071184078,0.23895367817078267,0.16663431471080947
0.5518009264834615,0.2576693909886507,0.19052968252788774
0.5091462638812715,0.2745571144919757,0.2162966216267528
0.4672093451615879,0.2890383217624617,0.24375233307595037
0.4266969236504147,0.3006469110973887,0.27265616525219655
0.388211390029338,0.3090677536087265,0.3027208563619354
0.3522163033568314,0.31415606492036047,0.33362763172280807
0.319021036997818,0.31593572478733783,0.36504323821484413
0.28878399423392387,0.31457919507249815,0.3966368106935779
0.26153036329714524,0.3103749065020269,0.4280947302008277
0.23717862468040746,0.303689154468562,0.4591322208510304
0.21557005188424466,0.29492881181786856,0.4895011362978866
0.1964967061045237,0.28450927641580265,0.5189940174796734
0.1797251654029577,0.2728298894757884,0.5474449451212537
0.16501484629908567,0.2602572196320816,0.5747279340688326
0.15213095477034105,0.24711538919761802,0.6007536560320408
0.14085278474121765,0.23368202030697963,0.6254651949518026
0.13097835574996008,0.22018824726753922,0.6488333969825006
0.12232638737518971,0.20682139091555568,0.6708522217092545
0.11473647330040616,0.19372916589878364,0.6915343608008101
0.10806813291920944,0.181024589690102,0.7109072773906885
0.10219923609312685,0.16879102754717437,0.7290097363596987
0.09702414187071831,0.1570870190148655,0.7458888391144162
0.09245177190503436,0.1459506870790629,0.7615975410159027
0.08840375201566938,0.13540363826052157,0.776192609723809
0.08481269511802862,0.12545433133211017,0.7897329735498612
0.0816206591316767,0.11610093418525108,0.8022784066830722
0.07877778869947562,0.10733371119892705,0.8138885001015973
0.07624113497312773,0.09913699380538224,0.82462187122149
0.07397363989546385,0.0914907895025079,0.8345355706020282
0.07194326788054078,0.08437208256718016,0.843684649552279
0.07012226687920986,0.07775587531179307,0.852121857808997
0.06848654140719783,0.07161601325262579,0.8598974453401763
0.06701512149008451,0.06592583184447652,0.8670590466654389
0.06568971320096677,0.060658656949146614,0.8736516298498865
0.06449431826752319,0.05578818618767553,0.8797174955448012
0.06341491195685646,0.051288773879574714,0.8852963141635687
0.06243917003287196,0.04713563841560175,0.8904251915515261
0.06155623699038004,0.04330500761653349,0.8951387553930863
0.060756528996865976,0.039774214848394204,0.8994692561547396
0.06003156602553676,0.036521756334884,0.903446677639579
0.05937382855750092,0.03352731816943144,0.9070988532730674
0.058776634985205536,0.03077177992478368,0.9104515850900106
0.05823403648226031,0.028237200435250537,0.913528763082489
0.05774072663416933,0.025906790239816468,0.916352483126014
0.05729196356620753,0.023764874283796623,0.9189431621499957
0.056883502672720694,0.021796847748903794,0.9213196495783754
0.0565115383585662,0.019989127288167912,0.9234993343532658
0.05617265345851633,0.01832909945940099,0.9254982470820826
0.05586377521287445,0.016805067759102774,0.9273311570280227
0.05558213685455496,0.015406199341511988,0.929011663803933
0.055325244010492415,0.01412247225142333,0.9305522837380842
0.05509084524348999,0.012944623793283419,0.9319645309632265
0.0548769061636507,0.011864100493794369,0.9332589933425548
0.054681586624796476,0.010873009983269155,0.9344454033919343
0.05450322059361475,0.009964075016123963,0.9355327043902611
0.054340298340030214,0.009130589768096106,0.9365291118918736
0.05419145064842459,0.008366378482892126,0.9374421708686832
0.05405543479242608,0.007665756490601421,0.9382788087169724
0.05393112205239239,0.007023493581574975,0.9390453843660326
0.05381748658551775,0.006434779690292112,0.9397477337241901
0.053713595484618834,0.005895192822161818,0.9403912116932193
0.053618599883852806,0.005400669140711665,0.9409807309754354
0.05353172698852454,0.004947475121968766,0.9415207978895066
0.05345227292227102,0.004532181676025413,0.9420155454017035
