9.871389803330022916e-01,1.186788737137921788e-02,1.010162643171922401e-03,1.500522455080017248e-01,9.997193118205183193e-02
9.840987730874205530e-01,1.372681407097760785e-02,2.220073186956118046e-03,1.504983561793176439e-01,9.973945597039260424e-02
9.802595889249466898e-01,1.616951504660900374e-02,3.644449282296938989e-03,1.516629756642616511e-01,9.913968890279295509e-02
9.755351945478285547e-01,1.922590673023220550e-02,5.338455852819239469e-03,1.538087118485285121e-01,9.805334452941408263e-02
9.698310109349685959e-01,2.293916973032775544e-02,7.355083743029728997e-03,1.572555043571798317e-01,9.635457390831357605e-02
9.630067124945974610e-01,2.739625068310203027e-02,9.749203948680748230e-03,1.624026994385451006e-01,9.392588924432100639e-02
9.548787128279082603e-01,3.271949141446556242e-02,1.258288701318657776e-02,1.696555796350282530e-01,9.074069595914233122e-02
9.452280027477163449e-01,3.905328020117968674e-02,1.593034367697316808e-02,1.792791237540004579e-01,8.698918106499947678e-02
9.338093224104067058e-01,4.654786740157921404e-02,1.988439570909050075e-02,1.912239048095550620e-01,8.317854217987828702e-02
9.203632090800851762e-01,5.534054499806587146e-02,2.456320724118729940e-02,2.050200353994163505e-01,8.008277652913652067e-02
9.046303876961502288e-01,6.554070107078822927e-02,3.011188862326336785e-02,2.198298185906517044e-01,7.846481219272009866e-02
8.863664327774858354e-01,7.722545502477079493e-02,3.669413543243232184e-02,2.346439842415389554e-01,7.870102716077502503e-02
8.653558104859975231e-01,9.044237810431753066e-02,4.447701719982407459e-02,2.485122292290961044e-01,8.059883997806684131e-02
8.414258879888240061e-01,1.052076046698197237e-01,5.361898824713015599e-02,2.607206586256479164e-01,8.355165892044667808e-02
8.144621069182946815e-01,1.214924327036397272e-01,6.426707408190499016e-02,2.708843675807027784e-01,8.686904811597793985e-02
7.844260569114180903e-01,1.392015890881203033e-01,7.655921168278378985e-02,2.789431958014552682e-01,9.002677294574584765e-02
7.513770442947015349e-01,1.581507033841206000e-01,9.062420619075409189e-02,2.850775676181314666e-01,9.273829833536584299e-02
7.154943210961477451e-01,1.780494124489630514e-01,1.065758846322077819e-01,2.895950469700842578e-01,9.490733151911484589e-02
6.770941843407409788e-01,1.984945424415264226e-01,1.245027208407964298e-01,2.928350437575885090e-01,9.655085543281388683e-02
6.366356172910900835e-01,2.189766723838025841e-01,1.444557970303546324e-01,2.951103107665975500e-01,9.773947651733774777e-02
5.947096979161431429e-01,2.389022742292251367e-01,1.664375247162508953e-01,2.966811698826375410e-01,9.856228600387886840e-02
5.520109035718553381e-01,2.576314928300647011e-01,1.903928258227263748e-01,2.977507985020388936e-01,9.910826406580608428e-02
5.092922042985100761e-01,2.745283015784040215e-01,2.162040962898790497e-01,2.984710695121431390e-01,9.945642147718163073e-02
4.673097206252805891e-01,2.890161613734605894e-01,2.436910387953570567e-01,2.989520622900520563e-01,9.967088055444181527e-02
4.267655794201133390e-01,3.006299354226815712e-01,2.726159866100739682e-01,2.992716546292376045e-01,9.979957259513148882e-02
3.882583404584196152e-01,3.090548991320701822e-01,3.026945188140590659e-01,2.994837820502503911e-01,9.987567536587151074e-02
3.522485748679650697e-01,3.141464462947830549e-01,3.336101959475910039e-01,2.996250634509259880e-01,9.992062383925955082e-02
3.190434407288997853e-01,3.159285824837357870e-01,3.650314900942445706e-01,2.997199131065110822e-01,9.994749242985399851e-02
2.887997661114797832e-01,3.145738995348595357e-01,3.966287140785447751e-01,2.997843630482429078e-01,9.996392276149368428e-02
2.615416554769818824e-01,3.103709619437173273e-01,4.280890100932453479e-01,2.998288284123507008e-01,9.997426924455907193e-02
2.371868616143933128e-01,3.036861879621830518e-01,4.591280776850222844e-01,2.998600395076853609e-01,9.998099497093626553e-02
2.155761773003068149e-01,2.949265520805192109e-01,4.894980629883980972e-01,2.998823473462202127e-01,9.998550557168943420e-02
1.965013489940257430e-01,2.845075300413087427e-01,5.189916868313924070e-01,2.998985810524372742e-01,9.998861999163843883e-02
1.797287492110120899e-01,2.728285197433324427e-01,5.474431417154846935e-01,2.999105990910295172e-01,9.999082845946040410e-02
1.650176598380347637e-01,2.602561298353355812e-01,5.747265130754602991e-01,2.999196389384461425e-01,9.999243297520268858e-02
1.521331980180628818e-01,2.471145104579425544e-01,6.007525180445912882e-01,2.999265376166297403e-01,9.999362476476991723e-02
1.408545984300546561e-01,2.336813030293042326e-01,6.254642703656275726e-01,2.999318708896401287e-01,9.999452800604535785e-02
1.309798405810759236e-01,2.201876552745674898e-01,6.488326361215572824e-01,2.999360416525735928e-01,9.999522521665958619e-02
1.223276166051238678e-01,2.068208974494539221e-01,6.708515884720108735e-01,2.999393366173106479e-01,9.999577240708311388e-02
1.147375010797913181e-01,1.937287508910539580e-01,6.915338284981965566e-01,2.999419631277183140e-01,9.999620835460956703e-02
